"helys","hossz","szel","long","lat"
"Bököny","21:43.65","47:54.15",21.7275,47.9025
"Bölcske","18:57.86","46:44.40",18.9643333333333,46.74
"Bõny","17:52.17","47:39.12",17.8695,47.652
"Börcs","17:30.08","47:41.11",17.5013333333333,47.6851666666667
"Börzönce","16:53.36","46:34.81",16.8893333333333,46.5801666666667
"Bõsárkány","17:15.02","47:41.49",17.2503333333333,47.6915
"Bõszénfa","17:51.12","46:14.18",17.852,46.2363333333333
"Bucsa","20:59.87","47:12.24",20.9978333333333,47.204
"Bucsu","16:29.59","47:15.84",16.4931666666667,47.264
"Bucsuszentlászló","16:56.12","46:47.36",16.9353333333333,46.7893333333333
"Bucsuta","16:50.22","46:33.92",16.837,46.5653333333333
"Budajenõ","18:48.21","47:33.39",18.8035,47.5565
"Budakalász","19:03.01","47:37.38",19.0501666666667,47.623
"Budakeszi","18:56.03","47:30.83",18.9338333333333,47.5138333333333
"Budaörs","18:57.75","47:27.53",18.9625,47.4588333333333
"Budapest","19:09.56","47:28.95",19.1593333333333,47.4825
"Bugac","19:40.90","46:41.30",19.6816666666667,46.6883333333333
"Bugacpusztaháza","19:38.07","46:42.12",19.6345,46.702
"Bugyi","19:08.92","47:13.60",19.1486666666667,47.2266666666667
"Buj","21:38.45","48:06.06",21.6408333333333,48.101
"Buják","19:32.66","47:52.96",19.5443333333333,47.8826666666667
"Buzsák","17:35.04","46:38.53",17.584,46.6421666666667
"Bük","16:45.16","47:23.23",16.7526666666667,47.3871666666667
"Bükkábrány","20:40.93","47:53.36",20.6821666666667,47.8893333333333
"Bükkaranyos","20:47.00","47:59.11",20.7833333333333,47.9851666666667
"Bükkmogyorósd","20:21.37","48:07.77",20.3561666666667,48.1295
"Bükkösd","18:00.05","46:06.74",18.0008333333333,46.1123333333333
"Bükkszék","20:10.63","47:59.33",20.1771666666667,47.9888333333333
"Bükkszenterzsébet","20:08.98","48:03.18",20.1496666666667,48.053
"Bükkszentkereszt","20:38.00","48:04.06",20.6333333333333,48.0676666666667
"Bükkszentmárton","20:19.98","48:04.29",20.333,48.0715
"Bükkzsérc","20:30.20","47:57.54",20.5033333333333,47.959
"Bürüs","17:45.71","45:57.96",17.7618333333333,45.966
"Büssü","17:57.92","46:27.45",17.9653333333333,46.4575
"Büttös","21:00.89","48:28.72",21.0148333333333,48.4786666666667
"Cák","16:30.98","47:21.44",16.5163333333333,47.3573333333333
"Cakóháza","17:17.24","47:41.80",17.2873333333333,47.6966666666667
"Cece","18:37.75","46:46.38",18.6291666666667,46.773
"Cégénydányád","22:32.91","47:56.16",22.5485,47.936
"Cegléd","19:47.91","47:10.25",19.7985,47.1708333333333
